taxonomy	SM.03_01	SM.03_03	SM.04_01	SM.04_03	SM.08_01	SM.08_02	SM.08_03	SM.08_04	SM.08_05	SM.08_09	SM.08_13	SM.09_01	SM.09_03	SM.11_01	SM.11_03	SM.12_01	SM.12_03	SM.13_01	SM.13_03	SM.17_01	SM.17_03	SM.30_01	SM.30_03	SM.31_01	SM.31_03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques	1.90224	2.95788	1.9125	1.86825	1.15163	4.99832	3.32438	0.75945	3.49954	0.8562	0.80696	1.62817	0.92092	2.53278	5.09853	1.93426	3.71968	11.77562	1.74087	1.56544	1.27601	4.25509	1.15947	3.42813	4.16882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	1.82574	2.64999	3.18565	4.69731	2.02432	1.18281	3.46872	2.55584	0.5873	1.06762	3.89258	1.89967	1.23615	2.70912	1.56014	6.36802	3.19094	4.21063	4.5786	0.06491	0.00922	3.88937	0.0059	0.07536	0.02413
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	1.49153	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	1.137	0.73717	0.66324	0.58235	0.42923	0.79431	0.31992	0.85617	0.1618	0.89908	0.34791	0.38135	0.17287	0.94731	1.03121	0.72336	0.2867	2.87313	2.79087	0.0291	0.00652	1.34543	0.0937	0.02992	0.01564
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	1.09322	3.58787	0	0.76604	0.028	0.30822	0.10937	0.24623	0.26351	0.16632	0.1876	0.02187	0.0662	0	0.00263	0	0	0	0.00088	0.0821	0.04203	0.21772	1.88325	0.50518	0.06552
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	1.08709	1.49073	0.46964	0.19512	0.1467	0.57164	0.34941	0.41159	0.00288	0.15106	0.52546	0.01576	0.07204	0.7356	0.28612	0.90452	0.46386	1.47124	0.13692	0.0126	0	0.89991	0.0327	0.01782	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC	1.0663	0.15875	1.242	0.23044	0.01909	0	0.00156	0.01917	0	0.1102	0.03197	0	0.01225	0	0.03093	0.1879	0.04851	0	0	0	0	0	0	0.0143	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis	1.01885	0.00341	0	0	0.53726	0.0066	0.07632	0.11099	0.00063	0.16086	0.03048	0.84549	1.0757	0.49527	0.02639	0.67868	0.08444	0	0	0	0.80654	0	0	0.20295	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii	0.98399	1.24312	2.16709	3.73937	0	0	0	0	0	0.85603	0.85425	1.99911	1.57002	1.74137	2.76648	2.01518	0.28833	0.02641	0.00525	1.29309	2.3331	0.86318	0.02473	0.01002	0.00068
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.91658	6.24001	0	0	0.01074	0.19993	0.19022	0.81863	0.58203	0.31467	0.21098	0.04969	0.20157	1.74259	0.06649	0.10371	1.14594	0	0.01739	0.00577	0.05368	0.29331	4.99868	0.51895	0.12275
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_eligens	0.85797	0.02552	0	0	0.05293	0	0.00543	0.29222	0.00754	0.24093	0.0316	0.33419	0.3562	0.00957	0	0.00049	0	0.60711	0.03482	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum	0.76203	0.09521	0.25547	0.2079	0.04857	0.04307	0.01194	0.02451	0	0.52282	0.04391	0.04576	0.09488	0.00228	0	0.21946	0.12249	0.31265	0.20828	0.23184	0	0	0	0.01566	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_formicilis	0.76096	0.35415	0.25949	0.07124	0.26924	0.8505	2.0661	0.59592	0.36117	0.57767	0.28879	2.36148	4.84802	0.12482	0.15537	3.00566	0.27379	6.25848	7.11971	0.19477	2.17408	0	0	0.04564	0.0403
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_lactaris	0.72919	0	0.46023	0.00594	0.37346	0.02216	0.03495	0.03743	0	0.03615	0.82869	0	0	2.97252	0.66339	0	0	0.08874	0.13185	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus|s__Coprobacillus_SGB6753	0.72357	0.13234	0	0	0	0	0	0	0	0	0	0	0	0.16487	0.04673	0	0	0.73956	0.16673	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium	0.68383	2.01777	0.32391	2.75014	0.4695	0.26376	0.46069	0.65047	0.33979	0.48377	0.2026	0.1554	0.14175	0.83707	0.1061	0.95503	0.2117	0.66084	1.93524	0.71902	0.21241	0.50369	0.15747	0.62788	0.14129
