# Constructed from biom file
#OTU ID	SM01_01	SM01_02	SM01_03	SM02_01	SM02_02	SM02_03	SM03_01	SM03_02	SM03_03	SM04_01	SM04_02	SM04_03	SM05_01	SM05_02	SM05_03	SM06_01	SM06_02	SM06_03	SM07_01	SM07_02	SM07_03	SM08_01	SM08_02	SM08_03	SM09_01	SM09_02	SM09_03	SM11_01	SM11_02	SM11_03	SM12_01	SM12_02	SM12_03	SM13_01	SM13_02	SM13_03	SM15_01	SM15_02	SM15_03	SM17_01	SM17_02	SM17_03	SM18_01	SM18_02	SM18_03	SM19_01	SM19_02	SM19_03	SM20_01	SM20_02	SM20_03	SM21_01	SM21_02	SM21_03	SM22_01	SM22_02	SM22_03	SM23_01	SM23_02	SM23_03	SM24_01	SM24_02	SM24_03	SM25_01	SM25_02	SM25_03	SM26_01	SM26_02	SM26_03	SM27_01	SM28_01	SM28_02	SM28_03	SM29_01	SM29_02	SM29_03	SM30_01	SM30_02	SM30_03	SM31_01	SM31_02	SM31_03	SM32_01	SM32_02	SM32_03	SM33_01	SM33_02	SM33_03	SM34_01	SM34_02	SM34_03	SM35_01	SM35_02	SM35_03	SM36_01	SM36_02	SM36_03	SM37_01	SM37_02	SM37_03	SM38_01	SM38_02	SM38_03	SM39_01	SM39_02	SM39_03	SM40_01	SM40_02	SM40_03	SM41_01	SM41_02	SM41_03	SM42_01	SM42_02	SM42_03	SM43_01	SM43_02	SM43_03	SM44_01	SM44_02	SM44_03
8622987ddfa6f1a7d9909f49018cb1f1	223.0	1300.0	1017.0	9864.0	12172.0	8641.0	2356.0	4758.0	3601.0	6094.0	3218.0	4466.0	1601.0	2894.0	8821.0	9669.0	4016.0	4161.0	1676.0	2612.0	2826.0	1315.0	1263.0	1611.0	1643.0	1191.0	1014.0	479.0	5878.0	4172.0	1538.0	614.0	1063.0	5059.0	3875.0	6327.0	5257.0	5126.0	28747.0	44119.0	2001.0	3398.0	2054.0	1014.0	2224.0	4800.0	3495.0	10041.0	971.0	504.0	562.0	1300.0	596.0	798.0	1960.0	4539.0	2632.0	41.0	4759.0	896.0	5751.0	17398.0	13124.0	1663.0	4681.0	4078.0	5580.0	4422.0	4802.0	7442.0	3460.0	2393.0	1713.0	3094.0	2379.0	3900.0	8031.0	2190.0	285.0	4616.0	68.0	33.0	939.0	1154.0	916.0	26.0	28.0	100.0	2129.0	704.0	912.0	6741.0	1362.0	3010.0	801.0	2604.0	2497.0	1883.0	2118.0	2422.0	6387.0	1659.0	4498.0	4337.0	1682.0	1870.0	9866.0	4154.0	3846.0	424.0	10671.0	7904.0	1848.0	4059.0	1020.0	1093.0	3495.0	4694.0	3897.0	11856.0	1357.0
a4546f79ebf09835b8d436dbcee45a5d	113.0	556.0	841.0	0.0	0.0	0.0	2951.0	498.0	290.0	5757.0	1353.0	2095.0	1390.0	1158.0	6146.0	2565.0	959.0	471.0	3822.0	1037.0	1413.0	820.0	678.0	1366.0	760.0	1029.0	828.0	412.0	810.0	421.0	1880.0	2134.0	1775.0	2409.0	555.0	1346.0	2224.0	502.0	4724.0	76.0	0.0	0.0	2267.0	244.0	1805.0	0.0	0.0	0.0	1282.0	1051.0	1451.0	803.0	651.0	639.0	2049.0	1732.0	2399.0	0.0	0.0	0.0	313.0	2341.0	779.0	1781.0	992.0	1013.0	5923.0	3258.0	3701.0	1764.0	2028.0	2428.0	1701.0	1103.0	1556.0	1820.0	3674.0	1300.0	232.0	2002.0	273.0	62.0	755.0	750.0	590.0	0.0	85.0	473.0	2856.0	615.0	380.0	1988.0	1896.0	1023.0	2024.0	989.0	1774.0	1808.0	2648.0	1954.0	6207.0	2007.0	3093.0	2474.0	227.0	851.0	0.0	0.0	24.0	12344.0	6749.0	2583.0	497.0	477.0	494.0	1276.0	2013.0	2758.0	558.0	1213.0	1302.0
8b7cd55d5449f3c0aa282f514ca5995b	72.0	393.0	787.0	1305.0	1067.0	16.0	1146.0	3051.0	1029.0	2054.0	1229.0	2367.0	1880.0	1735.0	7354.0	1449.0	4651.0	1976.0	1117.0	1047.0	6577.0	492.0	1211.0	2774.0	3405.0	7308.0	5762.0	215.0	4863.0	3889.0	919.0	1598.0	3179.0	344.0	6028.0	5605.0	685.0	71.0	693.0	15675.0	231.0	1921.0	1106.0	212.0	417.0	1413.0	3121.0	1808.0	515.0	242.0	308.0	330.0	163.0	207.0	621.0	1069.0	1129.0	0.0	0.0	0.0	204.0	487.0	133.0	319.0	192.0	215.0	1046.0	2365.0	1226.0	1973.0	850.0	726.0	523.0	234.0	340.0	217.0	1209.0	264.0	8.0	0.0	0.0	0.0	1247.0	3984.0	2368.0	210.0	69.0	243.0	418.0	741.0	1251.0	2106.0	2451.0	5160.0	0.0	0.0	0.0	832.0	2324.0	2441.0	2306.0	982.0	760.0	684.0	1368.0	1288.0	1482.0	824.0	627.0	0.0	0.0	281.0	566.0	373.0	473.0	915.0	427.0	522.0	622.0	802.0	3572.0
b167ad9fdf6c2158e6e90d7756049242	251.0	428.0	756.0	204.0	204.0	115.0	1468.0	665.0	307.0	2699.0	1504.0	585.0	159.0	372.0	1784.0	55.0	1199.0	889.0	35.0	202.0	510.0	118.0	80.0	116.0	324.0	324.0	586.0	471.0	4453.0	4019.0	1842.0	183.0	463.0	931.0	880.0	717.0	701.0	2768.0	20899.0	750.0	121.0	287.0	720.0	688.0	886.0	2800.0	1620.0	1522.0	1258.0	366.0	644.0	798.0	289.0	218.0	2366.0	1370.0	2370.0	0.0	0.0	171.0	4223.0	10310.0	585.0	1385.0	1279.0	1449.0	0.0	0.0	0.0	3146.0	2045.0	4057.0	2295.0	682.0	1554.0	970.0	0.0	0.0	0.0	1240.0	25.0	0.0	643.0	1656.0	688.0	37.0	0.0	70.0	994.0	321.0	1038.0	288.0	0.0	77.0	0.0	0.0	0.0	3167.0	2207.0	3161.0	17.0	590.0	1898.0	0.0	0.0	0.0	2975.0	3638.0	2639.0	2876.0	3081.0	4894.0	524.0	224.0	990.0	669.0	1512.0	506.0	427.0	1167.0	169.0
1de8a8bc685293bc92fccfd080dd1a64	21.0	155.0	133.0	0.0	0.0	0.0	344.0	1556.0	396.0	874.0	546.0	897.0	618.0	653.0	2214.0	1451.0	289.0	141.0	1443.0	654.0	493.0	1943.0	1277.0	2399.0	4785.0	1441.0	1523.0	0.0	0.0	0.0	990.0	1701.0	660.0	0.0	0.0	0.0	985.0	600.0	1422.0	3070.0	87.0	2368.0	1499.0	256.0	1577.0	1249.0	3556.0	2074.0	1957.0	4691.0	2501.0	245.0	207.0	268.0	383.0	685.0	641.0	0.0	805.0	89.0	1040.0	1646.0	1082.0	4269.0	5379.0	4773.0	2256.0	2770.0	3220.0	445.0	418.0	821.0	265.0	168.0	345.0	613.0	204.0	270.0	0.0	857.0	0.0	0.0	3126.0	1991.0	1573.0	152.0	268.0	136.0	1522.0	84.0	479.0	637.0	583.0	2410.0	0.0	194.0	436.0	925.0	1136.0	1150.0	658.0	561.0	1145.0	2557.0	2092.0	1071.0	1636.0	1931.0	1568.0	0.0	0.0	0.0	316.0	1852.0	1438.0	1338.0	3280.0	3673.0	1767.0	1993.0	1013.0
1d3c676d5555d4b2aa01154ec1d44206	29.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1133.0	6480.0	24982.0	2407.0	1240.0	0.0	0.0	0.0	2642.0	33.0	1694.0	6214.0	654.0	787.0	0.0	0.0	0.0	0.0	0.0	859.0	0.0	0.0	0.0	0.0	0.0	21.0	772.0	629.0	1381.0	0.0	0.0	0.0	3829.0	2119.0	3030.0	1433.0	105.0	109.0	3134.0	2367.0	1736.0	0.0	0.0	0.0	0.0	0.0	0.0	442.0	4962.0	1091.0	2695.0	881.0	623.0	0.0	0.0	0.0	1630.0	22.0	897.0	1492.0	3335.0	1559.0	5959.0	0.0	0.0	0.0	3186.0	1680.0	270.0	0.0	0.0	0.0	0.0	939.0	2221.0	178.0	34.0	144.0	4770.0	358.0	1685.0	0.0	0.0	12.0	2517.0	6176.0	2301.0	91.0	1953.0	1693.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	434.0	4336.0	865.0	1606.0	3364.0	1793.0
a8950ea716619e3682e2a34473e5adc7	131.0	110.0	222.0	0.0	0.0	0.0	1406.0	45.0	25.0	490.0	57.0	136.0	2506.0	1594.0	7197.0	0.0	0.0	0.0	252.0	0.0	212.0	1370.0	73.0	247.0	3553.0	819.0	721.0	695.0	1000.0	1239.0	1125.0	169.0	2629.0	1092.0	335.0	470.0	0.0	0.0	0.0	26182.0	755.0	3103.0	2424.0	92.0	1022.0	0.0	0.0	0.0	1733.0	1164.0	387.0	362.0	329.0	0.0	0.0	0.0	0.0	0.0	123.0	319.0	366.0	3783.0	823.0	0.0	0.0	0.0	1157.0	2332.0	1146.0	4110.0	1055.0	316.0	2809.0	1606.0	2340.0	826.0	3115.0	27.0	0.0	346.0	0.0	0.0	0.0	63.0	123.0	0.0	0.0	0.0	1601.0	0.0	0.0	2361.0	29.0	142.0	0.0	0.0	0.0	3800.0	3110.0	1378.0	2998.0	177.0	1465.0	545.0	493.0	683.0	259.0	0.0	174.0	0.0	0.0	0.0	857.0	526.0	441.0	2583.0	1386.0	1507.0	4883.0	1085.0	228.0
fc9eb1f00856480534aa837ca362656e	162.0	199.0	284.0	332.0	1391.0	395.0	183.0	441.0	520.0	284.0	635.0	383.0	193.0	443.0	1279.0	1603.0	1985.0	1398.0	649.0	803.0	1039.0	533.0	2620.0	1441.0	1462.0	741.0	833.0	112.0	508.0	702.0	192.0	754.0	477.0	1304.0	466.0	1206.0	429.0	1400.0	4146.0	1110.0	2257.0	1175.0	623.0	209.0	601.0	3110.0	4248.0	6114.0	674.0	914.0	898.0	936.0	593.0	1081.0	226.0	390.0	369.0	482.0	2245.0	985.0	2965.0	6615.0	3081.0	647.0	1820.0	2374.0	277.0	613.0	911.0	1079.0	437.0	2673.0	813.0	252.0	743.0	1333.0	145.0	83.0	0.0	503.0	182.0	27.0	664.0	1223.0	1024.0	0.0	127.0	128.0	894.0	162.0	485.0	768.0	765.0	640.0	28.0	105.0	100.0	190.0	189.0	220.0	1453.0	1981.0	1846.0	855.0	196.0	1434.0	736.0	863.0	809.0	1060.0	793.0	965.0	590.0	1481.0	544.0	1075.0	1004.0	1277.0	635.0	829.0	2130.0
226097bd7a1661a286a3b62d1c1f0e3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	0.0	1284.0	2461.0	1594.0	0.0	0.0	0.0	1001.0	452.0	369.0	201.0	752.0	330.0	0.0	0.0	4680.0	0.0	2827.0	1955.0	0.0	0.0	0.0	0.0	0.0	5.0	850.0	1536.0	1907.0	88.0	1325.0	223.0	0.0	0.0	0.0	990.0	1656.0	2939.0	958.0	3958.0	5647.0	2.0	0.0	0.0	0.0	0.0	0.0	2241.0	30090.0	4400.0	138.0	1846.0	447.0	0.0	67.0	486.0	0.0	4.0	1405.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10141.0	15.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	1893.0	612.0	0.0	0.0	0.0	43.0	22.0	223.0	140.0	348.0	686.0	0.0	0.0	0.0
9e0cf2990d3c1b967f22b595403e1578	92.0	147.0	120.0	27.0	0.0	0.0	2327.0	357.0	199.0	1495.0	1779.0	720.0	1129.0	487.0	1153.0	1026.0	336.0	106.0	543.0	142.0	199.0	292.0	166.0	497.0	698.0	1166.0	575.0	88.0	506.0	226.0	443.0	380.0	413.0	1647.0	1130.0	1048.0	385.0	121.0	573.0	6478.0	337.0	420.0	571.0	178.0	411.0	1148.0	1073.0	1555.0	624.0	234.0	211.0	360.0	292.0	310.0	335.0	123.0	222.0	0.0	317.0	987.0	160.0	1489.0	306.0	1197.0	1397.0	1874.0	501.0	734.0	279.0	1270.0	2200.0	349.0	775.0	358.0	504.0	568.0	2400.0	273.0	48.0	31.0	0.0	0.0	1558.0	818.0	536.0	24.0	39.0	99.0	197.0	95.0	205.0	1103.0	2078.0	678.0	542.0	517.0	376.0	268.0	670.0	562.0	893.0	1255.0	758.0	684.0	436.0	2154.0	1439.0	1147.0	691.0	327.0	698.0	810.0	1901.0	845.0	1563.0	502.0	501.0	401.0	1396.0	3461.0	1982.0
